accuracy,loss,val_accuracy,val_loss
0.5249900221824646,1.4019063711166382,0.4357999861240387,1.7269636392593384
0.6740400195121765,0.9289330244064331,0.6509000062942505,1.0256267786026
0.7219499945640564,0.7962983846664429,0.7293000221252441,0.7854758501052856
0.7513300180435181,0.7113800048828125,0.7391999959945679,0.7515068650245667
0.7738500237464905,0.652774453163147,0.7585999965667725,0.7032161951065063
0.7884799838066101,0.6060017347335815,0.7685999870300293,0.6835660934448242
0.8009200096130371,0.5690475106239319,0.7749999761581421,0.6453652381896973
0.8101599812507629,0.5401154160499573,0.7811999917030334,0.6315727829933167
0.8227300047874451,0.5085353255271912,0.7832000255584717,0.6463165879249573
0.8284000158309937,0.4871123731136322,0.8036999702453613,0.5876041650772095
0.8365799784660339,0.46727606654167175,0.8015999794006348,0.6030312776565552
0.8424999713897705,0.4508260190486908,0.7994999885559082,0.608578085899353
0.8487300276756287,0.4315725266933441,0.782800018787384,0.6590742468833923
0.8529499769210815,0.4160629212856293,0.8170999884605408,0.5517852902412415
0.8575400114059448,0.40663379430770874,0.822700023651123,0.5344787836074829
0.861050009727478,0.39374682307243347,0.8113999962806702,0.5799910426139832
0.8667500019073486,0.38234928250312805,0.8219000101089478,0.5590577721595764
0.8692399859428406,0.3727147579193115,0.7712000012397766,0.7410246133804321
0.8729100227355957,0.361431360244751,0.8238999843597412,0.5444516539573669
0.875220000743866,0.35546043515205383,0.8170999884605408,0.5632495880126953
0.8771399855613708,0.34883883595466614,0.8251000046730042,0.5307464003562927
0.8811100125312805,0.3373001217842102,0.8126999735832214,0.5808936357498169
0.8835800290107727,0.3316652476787567,0.7831000089645386,0.7108478546142578
0.8849499821662903,0.32731932401657104,0.8363000154495239,0.5207869410514832
0.888260006904602,0.31855931878089905,0.8274000287055969,0.5513124465942383
