accuracy,loss,val_accuracy,val_loss
0.4903999865055084,1.4964388608932495,0.5981000065803528,1.1616520881652832
0.6345800161361694,1.0363026857376099,0.7071999907493591,0.8426718711853027
0.6816200017929077,0.9030897617340088,0.7402999997138977,0.7479832768440247
0.7159500122070312,0.8093023300170898,0.7332000136375427,0.7602596282958984
0.7392799854278564,0.7384300231933594,0.7382000088691711,0.7779666185379028
0.7578099966049194,0.6903221607208252,0.7560999989509583,0.7265452742576599
0.7730299830436707,0.646885871887207,0.7879999876022339,0.6194121837615967
0.7850199937820435,0.6111220121383667,0.7944999933242798,0.6090037226676941
0.7968199849128723,0.57966548204422,0.784600019454956,0.6360246539115906
0.804830014705658,0.5563673973083496,0.7900999784469604,0.6312106251716614
0.8138700127601624,0.5296685099601746,0.7439000010490417,0.7891694903373718
0.8210800290107727,0.5103012919425964,0.7634999752044678,0.7384706735610962
0.8261899948120117,0.4935814142227173,0.7814000248908997,0.7029138803482056
0.8312399983406067,0.47766631841659546,0.8046000003814697,0.588428795337677
0.8369200229644775,0.4653898775577545,0.7635999917984009,0.7749902606010437
0.8428999781608582,0.44705748558044434,0.8059999942779541,0.6008490324020386
0.8464400172233582,0.4379744827747345,0.8077999949455261,0.5876868963241577
0.8504300117492676,0.4236905872821808,0.7853000164031982,0.6727138161659241
0.8511199951171875,0.421230673789978,0.8051000237464905,0.5966055989265442
0.8576800227165222,0.4050339460372925,0.7763000130653381,0.7204283475875854
0.8596600294113159,0.39782384037971497,0.8025000095367432,0.6186158061027527
0.8610100150108337,0.38975512981414795,0.7908999919891357,0.6630982160568237
0.8651400208473206,0.3806002736091614,0.7968000173568726,0.6322801113128662
0.8675299882888794,0.37485769391059875,0.8087000250816345,0.6343818306922913
0.8687599897384644,0.3715057671070099,0.7967000007629395,0.6636089086532593
