accuracy,loss,val_accuracy,val_loss
0.5207800269126892,1.410419225692749,0.5892999768257141,1.2904036045074463
0.6728500127792358,0.9331021904945374,0.6934999823570251,0.8748915791511536
0.7255600094795227,0.7863884568214417,0.7353000044822693,0.7641840577125549
0.7556899785995483,0.6978987455368042,0.6973999738693237,0.8557702302932739
0.7827399969100952,0.6271995306015015,0.7508999705314636,0.7246167659759521
0.798799991607666,0.5757830739021301,0.7558000087738037,0.7351039052009583
0.8132799863815308,0.5323461890220642,0.7856000065803528,0.6392326951026917
0.8241299986839294,0.5014706254005432,0.7836999893188477,0.6552399396896362
0.8345699906349182,0.46905773878097534,0.7710000276565552,0.6992891430854797
0.8445000052452087,0.4426083564758301,0.7545999884605408,0.7770357728004456
0.8514900207519531,0.42161300778388977,0.7904999852180481,0.634970486164093
0.8572700023651123,0.40195906162261963,0.791100025177002,0.6351081132888794
0.8658499717712402,0.38203996419906616,0.7871999740600586,0.6999738216400146
0.867609977722168,0.37161949276924133,0.7620000243186951,0.7512124180793762
0.8743500113487244,0.3527985215187073,0.816100001335144,0.5832380056381226
0.8777899742126465,0.34482672810554504,0.8030999898910522,0.6110745072364807
0.8835099935531616,0.3273456394672394,0.8102999925613403,0.6082116961479187
0.8889899849891663,0.31605371832847595,0.8014000058174133,0.6540955901145935
0.8898800015449524,0.31083840131759644,0.8173999786376953,0.5879610776901245
0.894760012626648,0.2970535457134247,0.8080000281333923,0.6518858075141907
0.8959699869155884,0.2926493287086487,0.8026999831199646,0.6488394141197205
0.8980200290679932,0.2846318483352661,0.8137000203132629,0.5941958427429199
0.9010800123214722,0.2786509096622467,0.8190000057220459,0.619397759437561
0.9038699865341187,0.27155235409736633,0.808899998664856,0.6505112648010254
0.904449999332428,0.26815366744995117,0.8148000240325928,0.6305034160614014
