accuracy,loss,val_accuracy,val_loss
0.5185800194740295,1.4182085990905762,0.6237000226974487,1.0744060277938843
0.6704599857330322,0.9466248154640198,0.6496999859809875,1.0344276428222656
0.7172899842262268,0.8078728914260864,0.6517999768257141,1.000854253768921
0.7477999925613403,0.7202947735786438,0.75,0.7216384410858154
0.7712799906730652,0.6557331085205078,0.763700008392334,0.6886290311813354
0.7890899777412415,0.6025640964508057,0.7735000252723694,0.6703476309776306
0.8019899725914001,0.5648437738418579,0.7926999926567078,0.6193246841430664
0.8144299983978271,0.5285546779632568,0.7888000011444092,0.6470617055892944
0.8256700038909912,0.496947705745697,0.7861999869346619,0.6461077332496643
0.8346499800682068,0.4729519188404083,0.8048999905586243,0.5874321460723877
0.8382599949836731,0.4583549201488495,0.7973999977111816,0.6156743764877319
0.8468300104141235,0.43807452917099,0.816100001335144,0.5687454342842102
0.8532199859619141,0.41734620928764343,0.7408999800682068,0.8576639890670776
0.8567699790000916,0.40350180864334106,0.7807999849319458,0.701137125492096
0.8636599779129028,0.38791754841804504,0.8073999881744385,0.5998386740684509
0.8651099801063538,0.3801846206188202,0.8037999868392944,0.6373087167739868
0.8726599812507629,0.3606392443180084,0.8162000179290771,0.5796919465065002
0.8720300197601318,0.3593562841415405,0.821399986743927,0.5656594038009644
0.8785200119018555,0.34288132190704346,0.8011999726295471,0.6497901082038879
0.8802400231361389,0.33407309651374817,0.8008999824523926,0.6499530076980591
0.88468998670578,0.3248686194419861,0.8047000169754028,0.6437375545501709
0.8870800137519836,0.3212038278579712,0.804099977016449,0.6594498157501221
0.8887799978256226,0.31431272625923157,0.8241999745368958,0.6017532348632812
0.8902999758720398,0.3091025650501251,0.8267999887466431,0.5798063278198242
0.8921499848365784,0.3014577627182007,0.817799985408783,0.6166384816169739
