accuracy,loss,val_accuracy,val_loss
0.8004000186920166,0.57051020860672,0.8568000197410583,0.39601951837539673
0.8623250126838684,0.3793967664241791,0.8711000084877014,0.35913634300231934
0.8770666718482971,0.33670157194137573,0.8805999755859375,0.31375938653945923
0.8873583078384399,0.30823609232902527,0.8912000060081482,0.2920880615711212
0.8956416845321655,0.2868258059024811,0.8907999992370605,0.2977448105812073
0.9010833501815796,0.2697701156139374,0.8925999999046326,0.2917366921901703
0.9054416418075562,0.2595077157020569,0.8862000107765198,0.3015730381011963
0.9088666439056396,0.24862077832221985,0.8740000128746033,0.3392869532108307
0.9123416543006897,0.23777078092098236,0.8816999793052673,0.32074078917503357
0.9154583215713501,0.227003276348114,0.899399995803833,0.27717292308807373
0.9186916947364807,0.2205248922109604,0.8931000232696533,0.29599568247795105
0.9210416674613953,0.21311305463314056,0.902400016784668,0.2691822052001953
0.9229416847229004,0.20919416844844818,0.8996999859809875,0.2821950912475586
0.9258833527565002,0.19929514825344086,0.9057000279426575,0.265132874250412
0.9265999794006348,0.19693905115127563,0.9049999713897705,0.27216610312461853
0.9283750057220459,0.19115550816059113,0.8952999711036682,0.3016365170478821
0.9310250282287598,0.18571209907531738,0.8974000215530396,0.2897886037826538
0.9307833313941956,0.18401895463466644,0.9028000235557556,0.28217586874961853
0.9336416721343994,0.17773360013961792,0.9071000218391418,0.271111398935318
0.9346749782562256,0.17681464552879333,0.9050999879837036,0.28328245878219604
0.9361416697502136,0.17140911519527435,0.9071999788284302,0.2835066616535187
0.937541663646698,0.16719600558280945,0.8925999999046326,0.3027578890323639
0.938575029373169,0.16502965986728668,0.8977000117301941,0.2906612753868103
0.9401500225067139,0.16079740226268768,0.900600016117096,0.30800414085388184
0.9403666853904724,0.1594398319721222,0.9100000262260437,0.2649640142917633
